#тип; название модели; год выпуска;  кол-во передач; страна производитель
"auto";"Renault Mégane";2008;6;"Иран"
"auto";"Jeep CJ";1951;5;"Таиланд"
"auto";"Nissan Skyline";1989;7;"Япония"
"auto";"Mitsubishi 3000GT";1990;6;"Соединённые Штаты Америки"
"auto";"Nissan Laurel";1984;5;"Япония"
"auto";"Nissan Armada";2003;5;"Япония"
"auto";"Chrysler Intrepid";1998;4;"Германия"
"auto";"Nissan Note";2012;5;"Япония"
"auto";"Ford Consul";1972;4;"Великобритания"
"auto";"Lancia Delta";1979;6;"Италия"
"auto";"Renault Sandero";2008;5;"Румыния"
"auto";"Dodge Challenger";2008;6;"Таиланд"
"auto";"Mitsubishi Space Runner";1991;6;"Таиланд"
"auto";"Volvo ÖV4";1927;3;"Швеция"
"auto";"ВАЗ-2103";1972;4;"Россия"
"auto";"Mitsubishi Mirage";1985;5;"Филиппины"
"auto";"Infiniti EX";2007;7;"Япония"
"auto";"Volkswagen Polo";1981;7;"Германия"
"auto";"Kia Rio";2011;6;"Республика Корея"
"auto";"Volkswagen Sharan";1995;6;"Германия"
"auto";"Tata Novus";2005;12;"Индия"
"auto";"Nissan Sunny";1970;5;"Япония"
"auto";"Jeep CJ";1981;5;"Австралия"
"auto";"Hudson Hornet";1950;3;"Соединённые Штаты Америки"
"auto";"Nissan President";1990;5;"Япония"
"auto";"Nissan Cedric";1962;5;"Япония"
"auto";"Tata Novus";2005;12;"Индия"
"auto";"Mitsubishi Diamante";1995;5;"Австралия"
"auto";"Pontiac Firebird";1993;5;"Соединённые Штаты Америки"
"auto";"Nissan Sentra";1982;6;"Япония"
"auto";"Cadillac Eldorado";1971;4;"Соединённые Штаты Америки"
"auto";"Oldsmobile 88";1992;4;"Соединённые Штаты Америки"
"auto";"Nissan Murano";2007;6;"Япония"
"auto";"Nissan Pathfinder";2004;7;"Япония"
"auto";"Nissan 350Z";2004;6;"Япония"
"auto";"Proton Saga";2003;6;"Малайзия"
"auto";"Fiat 600";1956;4;"Италия"
"auto";"Fiat Sedici";2005;6;"Италия"
"auto";"Nissan Silvia";1995;6;"Япония"
"auto";"Nissan Skyline";1981;7;"Япония"
"auto";"Nissan Silvia";1999;6;"Япония"
"auto";"Chevrolet Avalanche";2001;6;"Соединённые Штаты Америки"
"auto";"Volkswagen up!";2011;5;"Германия"
"auto";"Nissan Silvia";554;6;"Япония"
"auto";"Nissan Fuga";2009;7;"Япония"
"auto";"Mitsubishi Diamante";1990;5;"Нидерланды"
"auto";"Nissan Murano";2007;6;"Япония"
"auto";"Mitsubishi Mirage";1998;5;"Филиппины"
"auto";"Nissan Pathfinder";2012;7;"Япония"
"auto";"Daewoo Damas";1966;5;"Индия"
"auto";"Hudson Hornet";1955;3;"Соединённые Штаты Америки"
"auto";"Mitsubishi Lancer";2000;6;"Нидерланды"
"auto";"Chevrolet Nova";1967;5;"Соединённые Штаты Америки"
"auto";"Mitsubishi Galant";1983;5;"Филиппины"
"auto";"Kia Soul";2008;6;"Республика Корея"
"auto";"Kia Rio";2005;6;"Республика Корея"
"auto";"Peugeot 5008";2009;6;"Франция"
"auto";"Volkswagen Golf VI";2008;7;"Германия"
"auto";"Nissan Skyline";2006;7;"Япония"
"auto";"Mitsubishi Lancer";1979;6;"Филиппины"
"auto";"Fiat 521";1928;4;"Италия"
"auto";"Nissan Cedric";1965;5;"Япония"
"auto";"Nissan Skyline";1957;7;"Япония"
"auto";"Nissan Murano";2004;6;"Япония"
"auto";"Fiat 519";1922;4;"Италия"
"auto";"Volvo 850";1991;5;"Швеция"
"auto";"Nissan Cefiro";1994;5;"Япония"
"auto";"Ford Consul";1951;4;"Англия"
"auto";"Subaru BRAT";1978;4;"Япония"
"auto";"Fiat Ritmo";1978;4;"Италия"
"auto";"Nissan Skyline";1985;7;"Япония"
"auto";"Chery Tiggo";2006;5;"Китайская Народная Республика"
"auto";"Mitsubishi Lancer";1973;6;"Австралия"
"auto";"Volvo 900 series";1990;5;"Швеция"
"auto";"Porsche Cayenne";2010;6;"Германия"
"auto";"Jeep CJ";1945;5;"Австралия"
"auto";"Nissan Cefiro";1998;5;"Япония"
"auto";"Nissan Skyline";1999;7;"Япония"
"auto";"Fiat Panda";2011;6;"Италия"
"auto";"Mitsubishi L200";1996;5;"Нидерланды"
"auto";"Ford Consul";1956;4;"Англия"
"auto";"Mitsubishi Mirage";2004;5;"Нидерланды"
"auto";"Mitsubishi Colt";1962;5;"Таиланд"
"auto";"Ford Consul";1956;4;"Эссекс"
"auto";"ГАЗ-24";1968;4;"Россия"
"auto";"Ford Festiva";1993;5;"Иран"
"auto";"Mitsubishi Space Runner";2010;6;"Таиланд"
"auto";"Tata Indigo";2002;5;"Индия"
"auto";"Nissan Laurel";1997;5;"Япония"
"auto";"Чайка (автомобиль)";1977;3;"Россия"
"auto";"Jeep CJ";1984;5;"Таиланд"
"auto";"Nissan Cedric";1979;5;"Япония"
"auto";"Mitsubishi Outlander";2012;6;"Таиланд"
"auto";"Chevrolet Biscayne";1960;4;"Соединённые Штаты Америки"
"auto";"Ford Festiva";1986;5;"Республика Корея"
"auto";"Mitsubishi Lancer";2007;6;"Австралия"
"auto";"Nissan Micra";1982;5;"Япония"
"auto";"Nissan Silvia";1984;6;"Япония"
"auto";"Nissan 370Z";2009;7;"Япония"
"auto";"Nissan Bluebird Sylphy";2006;6;"Япония"
"auto";"Nissan Gloria";1979;5;"Япония"
"auto";"Nissan Cefiro";1988;5;"Япония"
"auto";"Chevrolet Biscayne";1964;4;"Соединённые Штаты Америки"
"auto";"Fiat 508";1932;3;"Италия"
"auto";"Nissan Altima Hybrid";2001;6;"Япония"
"auto";"Dodge Challenger";2008;6;"Австралия"
"auto";"Mitsubishi Lancer";1979;6;"Таиланд"
"auto";"Mitsubishi Endeavor";2002;4;"Филиппины"
"auto";"Nissan Skyline";1968;7;"Япония"
"auto";"Dodge Neon";2000;5;"Германия"
